idx,value
1611,6798
1612,6924
1613,6992
1614,7134
1615,7106
1616,7086
1617,6960
1618,6960
1619,6830
1620,6830
1621,6852
1622,6768
1623,6756
1624,6678
1625,6760
1626,6654
1627,6592
1628,6526
1629,6550
1630,6472
1631,6464
1632,6464
1633,6452
1634,6570
1635,6562
1636,6640
1637,6698
1638,6568
1639,6432
1640,6368
1641,6370
1642,6268
1643,6268
1644,6180
1645,6161
1646,6127
1647,6295
1648,6131
1649,6023
1650,6041
1651,6087
1652,6213
1653,6231
1654,6223
1655,6187
1656,6173
1657,6223
1658,6170
1659,6120
1660,6116
1661,6024
1662,5952
1663,5970
1664,6050
1665,6054
1666,6054
1667,6006
1668,6078
1669,6078
1670,6054
1671,6030
1672,5902
1673,6034
1674,6061
1675,5993
1676,6031
1677,5891
1678,5867
1679,5847
1680,5894
1681,5986
1682,5986
1683,6042
1684,6338
1685,6308
1686,6266
1687,6354
1688,6376
1689,6354
1690,6346
1691,6304
1692,6327
1693,6303
1694,6295
1695,6391
1696,6401
1697,6407
1698,6527
1699,6527
1700,6110
1701,6100
1702,6106
1703,6084
1704,6170
1705,6140
1706,6052
1707,6094
1708,5950
1709,5980
1710,5972
1711,5977
1712,5977
1713,6080
1714,6130
1715,5978
1716,6000
1717,5903
1718,5901
1719,5824
1720,5772
1721,5572
1722,5562
1723,5492
1724,5492
1725,5518
1726,5511
1727,5401
1728,5487
1729,5487
1730,5537
1731,5583
1732,5597
1733,5697
1734,5857
1735,6130
1736,6208
1737,6254
1738,6312
1739,6102
1740,6126
1741,6164
1742,6184
1743,6054
1744,5770
1745,5748
1746,5650
1747,5724
1748,5692
1749,5678
1750,5790
1751,5870
1752,5874
1753,5572
1754,5572
1755,5612
1756,5671
1757,5705
1758,5693
1759,5781
1760,5781
1761,5779
1762,5767
1763,5581
1764,5605
1765,5633
1766,5663
1767,5575
1768,5905
1769,5751
1770,5865
1771,6039
1772,6039
1773,6071
1774,6079
1775,6205
1776,6207
1777,6389
1778,6487
1779,6471
1780,6215
1781,5919
1782,5919
1783,5897
1784,5911
1785,5911
1786,5929
1787,5927
1788,5837
1789,5807
1790,5807
1791,5609
1792,5589
1793,5597
1794,5597
1795,5477
1796,5695
1797,5695
1798,5615
1799,5589
1800,5292
1801,5448
1802,5392
1803,5390
1804,5381
1805,5359
1806,5381
1807,5141
1808,5145
1809,5147
1810,5097
1811,5091
1812,5127
1813,5103
1814,5083
1815,4799
1816,4817
1817,4805
1818,4805
1819,4799
1820,4799
1821,4793
1822,4939
1823,4963
1824,4933
1825,4871
1826,4979
1827,4944
1828,5042
1829,5076
1830,5076
1831,5056
1832,5018
1833,5206
1834,5242
1835,5320
1836,5360
1837,5372
1838,5374
1839,5066
1840,5046
1841,5094
1842,5068
1843,5012
1844,5012
1845,5040
1846,4899
1847,5077
1848,5061
1849,4995
1850,4825
1851,4811
1852,4801
1853,4837
1854,4879
1855,4897
1856,4997
1857,5101
1858,5115
1859,5215
1860,5149
1861,5161
1862,5101
1863,5081
1864,5087
1865,5003
1866,4975
1867,4945
1868,4915
1869,4915
1870,4891
1871,4904
1872,4940
1873,5096
1874,5226
1875,5146
1876,5206
1877,5206
1878,5200
1879,5294
1880,5246
1881,5254
1882,5196
1883,5186
1884,4950
1885,4962
1886,4954
1887,4926
1888,4936
1889,4878
1890,4896
1891,4914
1892,4914
1893,4880
1894,4924
1895,4924
1896,4974
1897,4858
1898,4796
1899,4831
1900,5115
1901,5025
1902,4699
1903,4725
1904,4719
1905,4719
1906,4493
1907,4607
1908,4625
1909,4673
1910,4663
1911,4663
1912,4637
1913,4681
1914,4613
1915,4573
1916,4603
1917,4707
1918,4711
1919,4549
1920,4763
1921,4851
1922,4861
1923,4813
1924,4879
1925,4853
1926,4749
1927,4747
1928,4733
1929,4756
1930,4842
1931,4638
1932,4638
1933,4500
1934,4508
1935,4508
1936,4600
1937,4142
1938,4158
1939,4146
1940,4188
1941,4203
1942,4199
1943,4175
1944,4219
1945,4223
1946,4153
1947,4239
1948,4151
1949,4103
1950,4039
1951,4017
1952,4051
1953,4054
1954,4117
1955,3861
1956,3859
1957,3875
1958,3879
1959,3851
1960,3845
1961,3931
1962,3865
1963,4019
1964,4085
1965,4097
1966,4111
1967,4163
1968,4175
1969,4134
1970,4160
1971,4150
1972,4118
1973,4058
1974,4132
1975,4286
1976,4346
1977,4362
1978,4368
1979,4316
1980,4284
1981,4362
1982,4344
1983,4322
1984,4250
1985,4244
1986,4244
1987,4352
1988,4412
1989,4430
1990,4408
1991,4383
1992,4383
1993,4383
1994,4335
1995,4269
1996,4294
1997,4328
1998,4322
1999,4316
2000,4360
2001,4360
2002,4360
2003,4448
2004,4336
2005,4357
2006,4357
2007,4361
2008,4357
2009,4357
2010,4369
2011,4309
2012,4311
2013,4479
2014,4443
2015,4401
2016,4346
2017,4330
2018,4398
2019,4370
2020,4322
2021,4382
2022,4398
2023,4408
2024,4417
2025,4417
2026,4583
2027,4595
2028,4597
2029,4639
2030,4659
2031,4647
2032,4563
2033,4459
2034,4409
2035,4431
2036,4431
2037,4517
2038,4515
2039,4381
2040,4255
2041,4303
2042,4267
2043,4225
2044,4211
2045,4227
2046,4171
2047,4145
2048,4241
2049,4237
2050,4210
2051,4190
2052,4132
2053,4192
2054,4181
2055,4097
2056,4071
2057,4089
2058,4090
2059,4078
2060,4006
2061,3995
2062,3865
2063,3855
2064,3865
2065,3865
2066,3787
2067,4161
2068,4112
2069,4112
2070,4078
2071,4090
2072,4056
2073,4060
2074,4058
2075,4030
2076,4130
2077,4100
2078,4080
2079,4078
2080,4034
2081,4046
2082,3818
2083,3818
2084,3718
2085,3684
2086,3696
2087,3700
2088,3682
2089,3654
2090,3590
2091,3558
2092,3561
2093,3607
2094,3607
2095,3529
2096,3525
2097,3581
2098,3589
2099,3549
2100,3749
2101,3933
2102,4007
2103,4003
2104,3967
2105,4035
2106,4039
2107,4041
2108,4021
2109,4075
2110,4033
2111,3999
2112,3983
2113,4021
2114,3973
2115,3993
2116,3987
2117,3987
2118,4051
2119,4056
2120,4054
2121,4102
2122,4102
2123,3980
2124,4032
2125,4030
2126,3828
2127,3842
2128,3862
2129,3793
2130,3754
2131,3746
2132,3722
2133,3740
2134,3730
2135,3764
2136,3760
2137,3756
2138,3694
2139,3704
2140,3728
2141,3796
2142,3796
2143,3898
2144,3874
2145,3862
2146,3836
2147,3836
2148,3836
2149,3840
2150,3830
2151,3791
2152,3797
2153,3785
2154,3809
2155,3997
2156,3903
2157,3923
2158,3979
2159,3955
2160,4001
2161,4001
2162,3897
2163,3914
2164,3904
2165,3926
2166,3950
2167,3976
2168,3950
2169,4004
2170,4074
2171,4048
2172,4028
2173,3816
2174,3834
2175,3828
2176,3808
2177,3768
2178,3782
2179,3794
2180,3670
2181,3780
2182,3782
2183,3782
2184,3798
2185,3810
2186,3810
2187,3812
2188,3828
2189,3828
2190,3858
2191,3858
2192,3854
2193,3838
2194,3846
2195,3858
2196,3818
2197,3834
2198,3860
2199,3860
2200,3948
2201,3954
2202,3954
2203,4032
2204,4052
2205,4027
2206,4003
2207,4019
2208,3997
2209,4025
2210,4023
2211,4019
2212,3967
2213,3865
2214,3831
2215,3836
2216,3860
2217,3864
2218,3832
2219,3818
2220,3824
2221,3824
2222,3835
2223,3819
2224,3817
2225,3803
2226,3755
2227,3735
2228,3763
2229,3773
2230,3757
2231,3792
2232,3730
2233,3730
2234,3688
2235,3701
2236,3779
2237,3733
2238,3675
2239,3703
2240,3615
2241,3609
2242,3595
2243,3603
2244,3603
2245,3641
2246,3601
2247,3583
2248,3677
2249,3689
2250,3689
2251,3689
2252,3643
2253,3643
2254,3643
2255,3627
2256,3580
2257,3626
2258,3626
2259,3640
2260,3640
2261,3567
2262,3573
2263,3574
2264,3602
2265,3598
2266,3602
2267,3590
2268,3598
2269,3626
2270,3626
2271,3614
2272,3604
2273,3579
2274,3579
2275,3543
2276,3545
2277,3561
2278,3397
2279,3315
2280,3305
2281,3289
2282,3191
2283,3251
2284,3253
2285,3245
2286,3233
2287,3251
2288,3242
2289,3234
2290,3162
2291,3146
2292,3156
2293,3150
2294,3145
2295,3123
2296,3055
2297,3055
2298,3117
2299,3117
2300,3123
2301,3123
2302,3123
2303,3109
2304,3107
2305,3115
2306,3095
2307,3091
2308,3093
2309,3081
2310,3155
2311,3191
2312,3189
2313,3207
2314,3195
2315,3259
2316,3259
2317,3189
2318,3205
2319,3197
2320,3119
2321,3095
2322,3085
2323,3081
2324,3061
2325,3023
2326,3023
2327,3017
2328,2989
2329,2927
2330,2927
2331,2955
2332,2935
2333,2935
2334,2937
2335,2913
2336,2939
2337,3023
2338,2983
2339,2946
2340,2995
2341,3011
2342,3005
2343,3009
2344,2967
2345,2967
2346,3005
2347,2999
2348,3007
2349,2937
2350,2909
2351,2907
2352,2917
2353,2867
2354,2907
2355,2903
2356,2903
2357,2855
2358,2861
2359,2871
2360,2869
2361,2869
2362,2845
2363,2837
2364,2837
2365,2839
2366,2857
2367,2859
2368,2843
2369,2859
2370,2901
2371,2903
2372,2899
2373,2889
2374,2873
2375,2887
2376,2911
2377,2907
2378,2911
2379,2939
2380,2843
2381,2765
2382,2769
2383,2787
2384,2797
2385,2803
2386,2803
2387,2847
2388,2865
2389,2895
2390,2913
2391,2905
2392,2919
2393,2931
2394,2921
2395,2921
2396,2941
2397,2921
2398,2889
2399,2889
2400,2913
2401,2913
2402,2891
2403,2891
2404,2869
2405,2839
2406,2833
2407,2833
2408,2833
2409,2807
2410,2789
2411,2759
2412,2759
2413,2759
2414,2783
2415,2763
2416,2731
2417,2721
2418,2751
2419,2737
2420,2725
2421,2687
2422,2687
2423,2707
2424,2707
2425,2667
2426,2617
2427,2595
2428,2521
2429,2491
2430,2427
2431,2461
2432,2465
2433,2423
2434,2407
2435,2404
2436,2400
2437,2376
2438,2388
2439,2428
2440,2398
2441,2404
2442,2400
2443,2410
2444,2410
2445,2410
2446,2410
2447,2418
2448,2426
2449,2370
2450,2372
2451,2384
2452,2442
2453,2442
2454,2444
2455,2458
2456,2458
2457,2414
2458,2372
2459,2362
2460,2326
2461,2320
2462,2324
2463,2284
2464,2278
2465,2278
2466,2252
2467,2242
2468,2242
2469,2226
2470,2236
2471,2232
2472,2232
2473,2232
2474,2232
2475,2246
2476,2246
2477,2248
2478,2256
2479,2248
2480,2254
2481,2244
2482,2218
2483,2220
2484,2202
2485,2208
2486,2194
2487,2194
2488,2239
2489,2239
2490,2239
2491,2245
2492,2235
2493,2235
2494,2219
2495,2215
